NO,UINT BARCODE,BRAND,CATEGORY / VARIANT,PACK SIZE,CTN QTY,RCP,RSP,RETAILER MARGIN %,FAST PAY,BULK PUCHASE
1,9555208609179,LICIN LICIN,FLOOR CLEANER 7IN1,900ML,15,RM 18.50,RM 21.50,13.95%,8%,10%
2,9555208609087,LICIN LICIN,FLOOR CLEANER LEMONGRASS (SERAI WANGI),900ML,15,RM 16.50,RM 19.50,15.38%,8%,10%
3,9555208609162,LICIN LICIN,FLOOR CLEANER REGULAR,900ML,15,RM 15.00,RM 17.00,11.76%,8%,10%
4,9555208609162,LICIN LICIN,FLOOR CLEANER LAVENDER,900ML,15,RM 15.00,RM 17.00,11.76%,8%,10%
5,9555208609193,CNC,FLOOR CLEANER REGULAR,900ML,15,RM 12.90,RM 14.90,13.42%,8%,10%
6,9555208609278,LICIN LICIN,FLOOR WASH,900ML,15,RM 12.50,RM 15.50,19.35%,8%,10%
7,9555208602026,LICIN LICIN,TOILET KING,900ML,15,RM 13.50,RM 16.50,18.18%,8%,10%
8,9555208606093,LICIN LICIN,LICINDROP KIWI - WITH DISPENSER,900ML,15,RM 10.50,RM 11.00,4.55%,8%,10%
9,9555208606284,CNC,JIMATIK LIME - TWIN PACK,2 X 750ML,6,RM 4.40,RM 5.50,20.00%,8%,10%
10,9555208606291,CNC,JIMATIK APPLE -TWIN PACK,2 X 750ML,6,RM 4.40,RM 5.50,20.00%,8%,10%
11,9555208606307,CNC,JIMATIK HONEYDEW -TWIN PACK,2 X 750ML,6,RM 4.40,RM 5.50,20.00%,8%,10%
12,9555208606253,CNC,JIMATIK LIME,750ML,12,RM 3.00,RM 3.50,14.29%,8%,10%
13,9555208606260,CNC,JIMATIK APPLE,750ML,12,RM 3.00,RM 3.50,14.29%,8%,10%
14,9555208606277,CNC,JIMATIK HONEYDEW,750ML,12,RM 3.00,RM 3.50,14.29%,8%,10%
15,9555208601050,LICIN LICIN,CITRONELLA KITCHEN GREASE REMOVER SPRAY,500ML,24,RM 10.50,RM 12.50,16.00%,8%,10%
16,9555208603061,LICIN LICIN,YOKOSU STAIN REMOVEVR,400ML,20,RM 7.50,RM 9.00,16.67%,8%,10%
17,9555208603023,LICIN LICIN,YOKOSU STAIN REMOVEVR,800ML,12,RM 12.50,RM 15.50,19.35%,8%,10%
18,9555208605089,LICIN LICIN,EC CLEAN,2 LIT,8,RM 16.50,RM 18.50,10.81%,8%,10%
19,9555208605065,LICIN LICIN,ROSE LICIN,2 LIT,8,RM 19.00,RM 22.00,13.64%,8%,10%
20,9555208601135,LICIN LICIN,ENZYME POWER - HANDY FABRIC STAIN REMOVER,250ML,15,RM 16.50,RM 19.50,15.38%,8%,10%
21,9555208607014,LICIN LICIN,WASH N SHINE CAR SHAMPOO,900ML,15,RM 16.00,RM 19.00,15.79%,8%,10%
22,9555208604044,LICIN LICIN,BODY SHAMPOO,900ML,15,RM 20.50,RM 24.00,14.58%,8%,10%
23,9555208604105,LICIN LICIN,HAND WASH,900ML,15,RM 11.00,RM 12.50,12.00%,8%,10%
24,9555208604051,LICIN LICIN,TEA TREE ESSENTIAL OIL,10ML,12,RM 15.00,RM 18.00,16.67%,8%,10%
25,9555208601128,LICIN LICIN,MOSQUITO REPELLENT SPRAY,70ML,80,RM 6.40,RM 8.00,20.00%,8%,10%
26,,LICIN LICIN,MOSAKO HAND LOTION,1.5KG,1,RM 14.00,RM 16.00,12.50%,8%,10%
27,,LICIN LICIN,MOSAKO HAND LOTION,3.0KG,1,RM 26.00,RM 31.00,16.13%,8%,10%
1,9555208609179,L LADY,L LADY FLOOR CLEANER ALL-CARE,500ML,12,RM 9.1630,RM 11.90,23.00%,2%,3%
2,9555208609087,L LADY,L LADY FLOOR CLEANER RELAX,500ML,12,RM 9.1630,RM 11.90,23.00%,2%,3%
3,9555208609193,L LADY,L LADY FLOOR CLEANER CITRONELLA,500ML,12,RM 9.1630,RM 11.90,23.00%,2%,3%
4,,L LADY,L LADY DISHWASH CLEAR,600ML,12,RM 6.0830,RM 7.90,23.00%,2%,3%
5,,L LADY,L LADY DISHWASH - LAV,600ML,12,RM 6.0830,RM 7.90,23.00%,2%,3%
6,,L LADY,L LADY DISHWASH - LEMONGRASS,600ML,12,RM 6.0830,RM 7.90,23.00%,2%,3%
1,,L LADY,L LADY DETERGENT POWDER COLOUR (FLORA),2.3KG,8,RM 9.2000,RM 11.50,20.00%,2%,3%
2,,L LADY,L LADY DETERGENT POWDER ANTI BAC (LEMON),2.3KG,8,RM 9.2000,RM 11.50,20.00%,2%,3%
